agency,county,item,quantity,cost,date
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,HUDSON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,HUDSON,"SCREEN,HEXAGON,RADA",1,$188.00,11/12/89
,HUDSON,"SCREEN,HEXAGON,RADA",1,$188.00,11/12/89
,HUDSON,"HELMET,GROUND TROOP",25,$150.29,3/29/95
,HUDSON,"BINOCULAR,ELECTRONI",1,$363.00,7/24/95
,HUDSON,"TRANSPORTER,RIBBON ",1,"$82,543.00",10/2/96
,HUDSON,"TRUCK,CARGO        ",1,"$41,822.00",5/9/97
,HUDSON,"HOOD, CB",76,$18.14,3/30/98
,HUDSON,"MASK,CHEMICAL-BIOLO",70,$93.32,4/6/98
,HUDSON,"AIMING LIGHT,INFRAR",14,$337.00,10/30/98
,HUDSON,"HELMET,GROUND TROOP",74,$148.87,10/30/98
,HUDSON,"HELMET,GROUND TROOP",12,$150.29,6/2/99
,HUDSON,"HELMET,GROUND TROOP",13,$150.29,6/11/99
,HUDSON,BOAT,1,$130.00,8/23/99
,HUDSON,BOAT,1,$130.00,8/23/99
,HUDSON,BOAT,1,$130.00,8/23/99
HUNTERDON CO PROS OFFICE,HUNTERDON,"CORD, FIBROUS",36,$80.51,6/24/98
HUNTERDON CO PROS OFFICE,HUNTERDON,MISC BDU TROUSER/COATS,25,$21.88,6/25/98
READINGTON TOWNSHIP POLICE DEPARTMENT,HUNTERDON,"TRAILER,CARGO      ",1,$987.00,8/21/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,1/11/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,3/3/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,3/3/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,3/3/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,3/3/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,3/3/06
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/28/07
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/28/07
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/28/07
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/28/07
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,6/28/07
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
,HUNTERDON,"RIFLE,5.56 MILLIMETER",1,$499.00,7/1/08
DEPARTMENT OF CRIMINAL JUSTICE,MERCER,"TOOL KIT,CARPENTER'S",1,"$1,120.34",8/3/00
DEPARTMENT OF CRIMINAL JUSTICE,MERCER,TOWELS,1800,$1.46,8/3/00
MERCER CO PROSECUTOR,MERCER,TYPEWRITER,1,$524.00,3/24/95
STATE PARK SERVICE,MERCER,RADIO,5,$655.00,12/8/95
STATE POLICE,MERCER,"SUIT,CHEMICAL PROTE",4,$42.02,7/31/95
STATE POLICE,MERCER,"SUIT,CHEMICAL PROTE",8,$42.02,7/31/95
STATE POLICE (AVIATION),MERCER,BLANKET,10,$23.00,11/17/94
STATE POLICE (AVIATION),MERCER,GLOVE,10,$13.00,11/17/94
STATE POLICE (AVIATION),MERCER,RADIO SET          ,2,$653.00,11/17/94
STATE POLICE (AVIATION),MERCER,SHREDDER,1,$754.00,11/17/94
STATE POLICE (AVIATION),MERCER,OSCILLISCOPE,4,$695.00,7/19/95
STATE POLICE (AVIATION),MERCER,OSCILLISCOPE,9,$695.00,7/19/95
STATE POLICE (AVIATION),MERCER,RADIO,5,$318.00,11/20/95
STATE POLICE (AVIATION),MERCER,"DEMOLITION SET,EXPL",3,"$1,901.00",2/26/96
STATE POLICE (AVIATION),MERCER,FIBERSCOPE         ,1,"$9,400.00",2/28/96
STATE POLICE (AVIATION),MERCER,FIELD GEAR,100,$0.98,7/7/97
STATE POLICE (AVIATION),MERCER,"KIT BAG, FLYER'S",130,$24.95,7/7/97
STATE POLICE (AVIATION),MERCER,BLASTING MACHINE,1,$371.00,12/31/97
STATE POLICE (AVIATION),MERCER,"COAT,CAMOUFLAGE PATTERN",13,$22.80,6/23/98
STATE POLICE (AVIATION),MERCER,"TROUSER, CAMOUFLAGE PATTERN",13,$25.45,6/23/98
STATE POLICE (AVIATION),MERCER,ECERCISE EQUIPMENT,1,"$10,000.00",2/25/05
STATE POLICE (AVIATION),MERCER,"BUS,MOTOR",1,"$21,405.00",2/14/06
STATE POLICE (AVIATION),MERCER,COVERALLS FLYERS ,6,$104.86,4/24/07
STATE POLICE (AVIATION),MERCER,COVERALLS FLYERS ,8,$104.86,4/24/07
STATE POLICE (AVIATION),MERCER,COVERALLS FLYERS ,9,$104.86,4/24/07
STATE POLICE (AVIATION),MERCER,COVERALLS FLYERS ,11,$104.86,4/24/07
STATE POLICE (AVIATION),MERCER,COVERALLS FLYERS ,12,$104.86,4/24/07
STATE POLICE (AVIATION),MERCER,TRUCK LIFT FORK,1,"$11,828.00",6/26/07
STATE POLICE (AVIATION),MERCER,"COMPUTER,DIGITAL",100,"$1,500.00",5/14/12
TRENTON POLICE DEPARTMENT,MERCER,TYPING TABLE,1,$67.00,2/28/95
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,8/28/08
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,8/28/08
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,8/28/08
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,8/28/08
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,8/28/08
,MERCER,"RIFLE,5.56 MILLIMETER",1,$499.00,8/28/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,9/24/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,11/20/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,11/20/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,11/20/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,11/20/08
,MERCER,"RIFLE,7.62 MILLIMETER",1,$138.00,11/20/08
,MERCER,"FILTER ELEMENT SET,",2500,$20.74,1/18/95
,MERCER,"MASK,CHEMICAL-BIOLO",500,$93.32,1/18/95
,MERCER,"HELMET,GROUND TROOP",50,$150.29,3/29/95
,MERCER,NIGHT VISION GOGGLE,1,"$4,300.00",3/29/95
,MERCER,"FILTER ELEMENT SET,",275,$20.74,5/31/95
,MERCER,BINOCULAR          ,3,$278.05,6/27/95
,MERCER,"HELMET,GROUND TROOP",19,$148.87,8/9/95
,MERCER,"MASK,CHEMICAL-BIOLO",10,$93.32,1/27/96
,MERCER,"FILTER ELEMENT SET,",80,$20.74,9/16/96
,MERCER,"MASK,CHEMICAL-BIOLO",42,$93.32,9/24/96
,MERCER,"MASK,CHEMICAL-BIOLO",3,$93.32,10/3/96
,MERCER,"MASK,CHEMICAL-BIOLO",3,$93.32,10/3/96
,MERCER,"MASK,CHEMICAL-BIOLO",39,$93.32,10/7/96
,MERCER,"MASK,CHEMICAL-BIOLO",100,$93.32,10/11/96
,MERCER,"MASK,CHEMICAL-BIOLO",68,$93.32,11/20/96
,MERCER,"MASK,CHEMICAL-BIOLO",20,$93.32,1/22/97
,MERCER,"MASK,CHEMICAL-BIOLO",31,$93.32,1/22/97
,MERCER,"MASK,CHEMICAL-BIOLO",3,$93.32,1/27/97
,MERCER,"MASK,CHEMICAL-BIOLO",9,$93.32,1/27/97
,MERCER,"MASK,CHEMICAL-BIOLO",40,$93.32,1/27/97
,MERCER,"MASK,CHEMICAL-BIOLO",6,$93.32,2/5/97
,MERCER,"MASK,CHEMICAL-BIOLO",3,$93.32,2/6/97
,MERCER,"MASK,CHEMICAL-BIOLO",4,$93.32,2/6/97
,MERCER,"MASK,CHEMICAL-BIOLO",5,$93.32,2/6/97
,MERCER,"MASK,CHEMICAL-BIOLO",7,$93.32,2/6/97
,MERCER,"MASK,CHEMICAL-BIOLO",10,$93.32,2/6/97
,MERCER,"MASK,CHEMICAL-BIOLO",38,$93.32,2/6/97
,MERCER,"FILTER ELEMENT SET,",463,$20.74,2/11/97
,MERCER,"MASK,CHEMICAL-BIOLO",19,$93.32,2/11/97
,MERCER,"HELMET,GROUND TROOP",4,$150.29,12/23/97
,MERCER,"BODY ARMOR,FRAGMENT",1,$35.92,12/31/97
,MERCER,"BODY ARMOR,FRAGMENT",3,$35.92,12/31/97
,MERCER,"CASE, NIGHT VISION",2,$575.00,12/31/97
,MERCER,"MASK,CHEMICAL-BIOLO",30,$93.32,10/2/98
,MERCER,"MASK,CHEMICAL-BIOLO",500,$93.32,2/9/99
,MERCER,"MASK,CHEMICAL-BIOLO",500,$93.32,2/9/99
,MERCER,"TRUCK,ARMORED      ",1,"$65,070.00",5/31/00
,MERCER,"BODY ARMOR,FRAGMENT",6,$32.00,1/9/01
,MERCER,"BODY ARMOR,FRAGMENT",12,$203.92,1/9/01
,MERCER,"HELMET,GROUND TROOP",1,$150.29,1/9/01
,MERCER,"HELMET,GROUND TROOP",1,$150.29,1/9/01
,MERCER,"TRUCK,VAN",1,"$14,173.00",1/24/05
,MERCER,RIGID HULL BOAT,1,"$5,000.00",4/27/05
,MERCER,"BOAT,INFLATABLE MAT",4,"$2,667.00",3/12/07
,MERCER,STAKEBODY,1,"$14,000.00",6/7/07
EDISON POLICE DEPARTMENT,MIDDLESEX,BACK PACK,20,$142.00,8/8/95
EDISON POLICE DEPARTMENT,MIDDLESEX,SHREDDER,1,"$1,143.00",11/20/95
MIDDLESEX BOROUGH PD,MIDDLESEX,CPR DUMMY,1,$10.00,3/4/98
MIDDLESEX CO SHERIFF DEPARTMENT,MIDDLESEX,STORAGE BOX,2,$41.00,6/2/97
PERTH AMBOY POLICE DEPARTMENT,MIDDLESEX,TYPEWRITER,1,$812.00,6/27/97
PERTH AMBOY POLICE DEPARTMENT,MIDDLESEX,TYPEWRITER,1,$812.00,6/27/97
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,MIDDLESEX,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
